"row ID","City","Year","Month","MaxTempAvg","MaxTempMax","MinTempMean","MinTempMin","SnowMean_in_CM","SunHourMean","WindGustKmphMean","CloudcoverMean","HumidityMean","PercipMean","TempMean","Mean(windspeedKmph)","PowerPlanName","Col0","NumberOfOutages"
"Row13_Row40_Row378","Bergheim",2018,"April",18,27,9.233333333333333,2,0,10.169999999999998,17.033333333333335,43.2,68.76666666666664,0.7566666666666667,18,11.366666666666665,"Niederaußem",378,24
"Row14_Row40_Row367","Bergheim",2018,"August",25.4516129032258,35,16.45161290322581,9,0,11.90967741935484,15.193548387096774,34.09677419354839,60.032258064516135,0.4677419354838712,25.4516129032258,10.935483870967744,"Niederaußem",367,22
"Row15_Row40_Row368","Bergheim",2018,"December",7.29032258064516,13,3.806451612903226,-1,0.051612903225806445,3.5322580645161303,22.161290322580644,68.41935483870967,80.70967741935485,1.2258064516129032,7.29032258064516,14.096774193548384,"Niederaußem",368,22
"Row16_Row40_Row369","Bergheim",2018,"February",2.9999999999999987,7,-1.8571428571428572,-8,0.046428571428571416,8.364285714285714,18.321428571428573,38.785714285714285,66.82142857142861,0.29642857142857143,2.9999999999999987,12.571428571428573,"Niederaußem",369,19
"Row17_Row40_Row370","Bergheim",2018,"January",7.483870967741935,13,3.838709677419354,0,0.04838709677419355,3.9709677419354854,24.64516129032258,72.09677419354837,83.03225806451613,0.7774193548387096,7.483870967741935,15.870967741935486,"Niederaußem",370,40
"Row18_Row40_Row371","Bergheim",2018,"July",27.38709677419354,35,16.677419354838708,11,0,15.9,12.645161290322585,21.70967741935484,55.8064516129032,0.4516129032258066,27.38709677419354,8.87096774193548,"Niederaußem",371,24
"Row19_Row40_Row372","Bergheim",2018,"June",22.433333333333334,29,13.899999999999999,8,0,15.136666666666668,14.433333333333332,43.66666666666665,71.5333333333333,0.5933333333333333,22.433333333333334,10.233333333333336,"Niederaußem",372,38
"Row20_Row40_Row374","Bergheim",2018,"March",8.54838709677419,15,1.6451612903225805,-7,0.04838709677419355,8.680645161290323,19.70967741935484,59.193548387096754,73.45161290322582,1.0741935483870968,8.54838709677419,13.32258064516129,"Niederaußem",374,19
"Row21_Row40_Row373","Bergheim",2018,"May",21.967741935483875,29,11.967741935483872,5,0,15.122580645161287,14.612903225806452,30.61290322580645,66.64516129032258,1.0774193548387099,21.967741935483875,10.03225806451613,"Niederaußem",373,108
"Row22_Row40_Row375","Bergheim",2018,"November",9.933333333333332,16,4.966666666666666,0,0,6.426666666666667,18.799999999999997,45.5,77.93333333333332,0.6166666666666668,9.933333333333332,11.73333333333333,"Niederaußem",375,28
"Row23_Row40_Row376","Bergheim",2018,"October",16.225806451612907,26,9.387096774193546,3,0,8.825806451612904,17.64516129032258,41.83870967741935,72.06451612903226,0.36451612903225805,16.225806451612907,11.516129032258066,"Niederaußem",376,27
"Row24_Row40_Row377","Bergheim",2018,"September",20.733333333333334,29,12.133333333333331,6,0,10.296666666666667,13.733333333333336,32.166666666666664,64.76666666666665,0.5033333333333335,20.733333333333334,9.466666666666663,"Niederaußem",377,56
"Row26_Row0_Row11","Bergkamen",2018,"April",18.800000000000004,28,10.43333333333333,3,0,10.26333333333333,14.866666666666667,42.06666666666666,62.89999999999999,0.24666666666666667,18.800000000000004,10.933333333333337,"Bergkamen",11,9
"Row27_Row0_Row0","Bergkamen",2018,"August",25.645161290322584,36,17.35483870967742,11,0,12.148387096774192,13.580645161290324,34.967741935483865,56.74193548387097,0.07741935483870967,25.645161290322584,10.516129032258068,"Bergkamen",0,6
"Row28_Row0_Row1","Bergkamen",2018,"December",6.999999999999999,12,4.161290322580646,-1,0.006451612903225806,3.3483870967741947,21.93548387096774,71.38709677419354,79.45161290322578,0.21612903225806443,6.999999999999999,14.548387096774192,"Bergkamen",1,6
"Row29_Row0_Row2","Bergkamen",2018,"February",2.464285714285714,6,-1.4642857142857144,-8,0.010714285714285713,8.478571428571428,17.642857142857146,38.64285714285713,65.67857142857142,0.021428571428571425,2.464285714285714,12.607142857142858,"Bergkamen",2,29
"Row30_Row0_Row3","Bergkamen",2018,"January",7.032258064516129,13,3.7096774193548385,1,0.03225806451612903,3.94516129032258,23.451612903225808,71.90322580645162,81.258064516129,0.17741935483870971,7.032258064516129,15.612903225806452,"Bergkamen",3,2
"Row31_Row0_Row4","Bergkamen",2018,"July",27.064516129032256,34,17.32258064516129,12,0,15.803225806451612,11.09677419354839,21.483870967741943,54.90322580645161,0.14516129032258066,27.064516129032256,8.483870967741934,"Bergkamen",4,8
"Row32_Row0_Row5","Bergkamen",2018,"June",22.499999999999996,30,14.799999999999997,9,0,15.156666666666665,12.933333333333334,46.20000000000001,67.80000000000001,0.22000000000000003,22.499999999999996,9.966666666666667,"Bergkamen",5,2
"Row33_Row0_Row7","Bergkamen",2018,"March",8.129032258064516,15,1.7096774193548387,-8,0.006451612903225806,9.025806451612906,17.580645161290317,55.25806451612902,68.80645161290322,0.11612903225806455,8.129032258064516,12.483870967741934,"Bergkamen",7,14
"Row34_Row0_Row6","Bergkamen",2018,"May",22.419354838709673,30,13.032258064516126,7,0,15.280645161290318,13.709677419354836,28.870967741935484,62.12903225806453,0.19354838709677413,22.419354838709673,10.193548387096776,"Bergkamen",6,4
"Row35_Row0_Row8","Bergkamen",2018,"November",9.73333333333333,18,5.366666666666668,1,0.009999999999999998,6.299999999999998,17,46.799999999999976,75.69999999999996,0.06333333333333332,9.73333333333333,11.266666666666667,"Bergkamen",8,4
